id,label,timeset,fan_count,category,username,users_can_post,link,post_activity,talking_about_count
11539801009,The National,,944277,Musician/Band,thenationalofficial,yes,https://www.facebook.com/thenationalofficial/,0.03,10987
115643195151198,Brassland,,4462,Record Label,Brassland,yes,https://www.facebook.com/Brassland/,0.01,28
231254366893637,Bryce Dessner,,8928,Musician/Band,Bryce.Dessner,yes,https://www.facebook.com/Bryce.Dessner/,0.01,49
125804090932273,St Jerome's Laneway Festival USA,,2423,Concert Tour,LanewayFestivalUSA,yes,https://www.facebook.com/LanewayFestivalUSA/,0.0,0
514992135234266,"Bring The National To Israel -  The Real """"Fake Empire""""  : )",,1260,Community,BringTheNationalToIsrael,yes,https://www.facebook.com/BringTheNationalToIsrael/,0.0,0
16064464852,Artists Den,,159194,Arts & Entertainment,artistsden,yes,https://www.facebook.com/artistsden/,0.02,141
7891635905,Bonnaroo Music and Arts Festival,,669827,Performance & Event Venue,bonnaroo,yes,https://www.facebook.com/bonnaroo/,0.05,4775
59152617887,Buke and Gase,,14523,Musician/Band,bukeandgase,yes,https://www.facebook.com/bukeandgase/,0.01,28
36939606277,Local Natives,,385089,Musician/Band,localnatives,yes,https://www.facebook.com/localnatives/,0.02,451
531485530266234,Fusilier,,432,Musician/Band,fusiliermusic,yes,https://www.facebook.com/fusiliermusic/,0.0,2
273567224143,the perennials,,1014,Musician/Band,theperennials,yes,https://www.facebook.com/theperennials/,0.0,2
1703362789946740,Aaron Dessner,,2546,Musician/Band,,yes,https://www.facebook.com/Aaron-Dessner-1703362789946740/,0.0,47
108560099169100,Baby Dayliner,,463,Artist,,yes,https://www.facebook.com/pages/Baby-Dayliner/108560099169100,0.0,0
101632530172171,EL VY,,37482,Musician/Band,ELVYclub,yes,https://www.facebook.com/ELVYclub/,0.0,38
115785971805139,TheLabel,,1092,Record Label,TheLabelNZ,no,https://www.facebook.com/TheLabelNZ/,0.1,58
314521142075192,Liquid Music,,1855,Nonprofit Organization,SPCOLiquidMusic,yes,https://www.facebook.com/SPCOLiquidMusic/,0.02,186
129976770381499,Nialler9,,39219,Entertainment Website,Nialler9music,yes,https://www.facebook.com/Nialler9music/,0.13,738
601421899978784,Baby Dayliner,,748,Musician/Band,babydaylinerNYC,yes,https://www.facebook.com/babydaylinerNYC/,0.0,11
302683945427,Other Voices,,39014,TV Show,OtherVoices,yes,https://www.facebook.com/OtherVoices/,0.04,235
13472576978,Stereogum,,314362,News & Media Website,Stereogum,no,https://www.facebook.com/Stereogum/,0.41,12764
167510274685,BrooklynVegan,,79907,Entertainment Website,BrooklynVegan,no,https://www.facebook.com/BrooklynVegan/,0.6,3329
114458245398949,Talkhouse,,18632,Media/News Company,talkhouse,yes,https://www.facebook.com/talkhouse/,0.16,336
229125271877,Laura Leishman,,31014,Public Figure,lauraleishmanproject,yes,https://www.facebook.com/lauraleishmanproject/,0.0,12
108274769342760,Hostess Entertainment,,12622,Record Label,Hostessclubofficial,yes,https://www.facebook.com/Hostessclubofficial/,0.11,511
86134482733,Adelaide Festival,,32177,Arts & Entertainment,adelaidefestival,yes,https://www.facebook.com/adelaidefestival/,0.02,30
42469203122,Principality of Sealand,,109390,State,PrincipalityOfSealand,yes,https://www.facebook.com/PrincipalityOfSealand/,0.01,174
211229335586373,Loop 2.4.3,,424,Musician/Band,loop243,yes,https://www.facebook.com/loop243/,0.0,2
196382043717959,The Gloaming,,18178,Musician/Band,TheGloamingOfficial,yes,https://www.facebook.com/TheGloamingOfficial/,0.01,96
13852349119,(le) poisson rouge,,42385,Live Music Venue,lprnyc,no,https://www.facebook.com/lprnyc/,0.08,377
94832366325,This Is The Kit,,16046,Musician/Band,thisisthekit,yes,https://www.facebook.com/thisisthekit/,0.04,355
148503411830756,A2IM,,2357,Arts & Entertainment,independentlabels,yes,https://www.facebook.com/independentlabels/,0.05,25
5975979659,My Brightest Diamond,,27732,Musician/Band,mybrightestdiamond,yes,https://www.facebook.com/mybrightestdiamond/,0.03,176
105952652768902,Shara Nova,,4473,Artist,,yes,https://www.facebook.com/pages/Shara-Nova/105952652768902,0.0,0
